# source: https://raw.githubusercontent.com/maxcleme/beadcolors/master/raw/artkal_s.csv (MIT License, see LICENSE-beadcolors.txt / LICENSE-bead-color-matcher.txt)
# fetched: 2026-09-03 · rows: 199 · color_type 仅标记特殊效果系列（空 = 普通色）
code,name,r,g,b,color_type
SN2,Neon Green,1,198,62,
SN3,Neon Yellow,242,243,60,
SN4,Neon Rose,255,71,122,
SP1,Pearlescent Green,147,202,135,
SP2,Pearlescent Tangerine,254,127,84,
SP3,Pearlescent Orange,240,161,73,
SP4,Pearlescent Pink,220,158,169,
SP5,Pearlescent Red,214,60,83,
SP6,Pearlescent Blue,44,78,151,
SP7,Pearlescent Purple,100,66,126,
SP8,Pearlescent White,224,219,202,
ST1,Transparent,199,188,184,
ST2,Transparent Pink,249,84,152,
ST3,Transparent Tangering,255,124,69,
ST4,Transparent Yellow,218,223,61,
ST5,Transparent Green,15,174,88,
ST6,Transparent Purple,132,119,179,
