# source: https://raw.githubusercontent.com/lft123454321/bead_color_matcher/main/COCO_ALL.csv (MIT License, see LICENSE-beadcolors.txt / LICENSE-bead-color-matcher.txt)
# fetched: 2026-09-03 · rows: 293 · color_type 仅标记特殊效果系列（空 = 普通色）
code,name,r,g,b,color_type
N05,N05,233,135,234,
S1,S1,159,228,223,
S10,S10,254,184,114,
S11,S11,243,193,192,
S12,S12,201,103,94,
S13,S13,210,147,190,
S14,S14,234,140,177,
S15,S15,156,135,214,
S2,S2,119,206,233,
S3,S3,62,207,202,
S4,S4,74,134,122,
S5,S5,127,205,157,
S6,S6,205,229,93,
S7,S7,232,199,180,
S8,S8,173,111,60,
S9,S9,108,55,47,
W1,W1,255,255,0,
W2,W2,255,235,250,
W3,W3,242,165,232,
W4,W4,233,236,145,
W5,W5,118,206,222,
Y01,Y01,188,198,184,
Y02,Y02,138,163,134,
Y03,Y03,105,125,128,
Y04,Y04,227,210,188,
Y05,Y05,208,204,170,
Y06,Y06,176,167,130,
Y07,Y07,180,164,151,
Y08,Y08,179,130,129,
Y09,Y09,165,135,103,
Y10,Y10,197,178,188,
Y11,Y11,159,117,148,
Y12,Y12,100,71,73,
Y13,Y13,209,144,102,
Y14,Y14,199,115,98,
Y15,Y15,117,125,123,
Z01,Z01,255,228,204,
Z02,Z02,255,226,206,
Z03,Z03,252,249,224,
Z04,Z04,242,217,186,
Z05,Z05,255,196,170,
Z06,Z06,244,195,165,
Z07,Z07,224,197,147,
Z08,Z08,225,179,131,
Z09,Z09,230,180,131,
Z10,Z10,237,176,69,
Z11,Z11,233,156,23,
Z12,Z12,224,121,53,
Z13,Z13,255,200,144,
Z14,Z14,183,113,74,
Z15,Z15,217,140,57,
Z16,Z16,123,82,75,
Z17,Z17,141,97,76,
Z18,Z18,157,91,62,
Z19,Z19,169,64,35,
Z20,Z20,138,69,38,
Z21,Z21,148,54,48,
Z22,Z22,117,59,50,
Z23,Z23,90,33,33,
Z24,Z24,184,133,88,
圣诞红,圣诞红,218,24,74,
圣诞绿,圣诞绿,36,166,5,
